Ticker, MarketCap
80002
TPL, 30598972033.46
TXT, 13701481978.48
TMO, 198741190677.59998
TJX, 132212225790.69
TSCO, 30409879043.94
TT, 75891090579.04001
TDG, 74931812461.34999
TRV, 58180308207.020004
TRMB, 16347629511.54
TFC, 52697008001.21999
TYL, 24377186036.64
TSN, 22059117519.89
USB, 66012906113.729996
UBER, 152622987676.9
UDR, 14659273802.93
ULTA, 16438137270.240002
UNP, 151487221671.38
UAL, 25408096957.68
UPS, 102933436085.96
URI, 39167932025.5
UNH, 443443863993.0
UHS, 11346094910.800001
VLO, 39939149409.2
VTR, 29511320049.800003
VLTO, 24836756112.52
VRSN, 22611292000.0
VRSK, 41802297170.0
VZ, 195709137007.42
VRTX, 128397502398.69
VTRS, 11340043115.5
VICI, 34478909562.24
V, 658718675597.04
VST, 36774165520.58
VMC, 29241152144.4
WRB, 23876072485.760002
GWW, 48934464435.36
WAB, 29983849798.5
WBA, 9747651119.039999
WMT, 705491977401.2999
DIS, 186346876204.19998
WBD, 25995954328.829998
WM, 91419029273.57
WAT, 23168366488.83
WEC, 34628626364.54
WFC, 219585099945.96
WELL, 93759238664.4
WST, 16343543266.64
WDC, 14100780987.08
WMB, 65870329315.9
WTW, 33097956148.0
WDAY, 64638000000.0
XEL, 39845229328.899994
XYL, 31170678484.5
YUM, 44123225062.24
ZBRA, 14570202034.08
ZBH, 22026339096.600002
ZTS, 76930651340.6
